s,"tamp,datetime,","humidity,t",emperature
"""","1497825283"",""",18/06/2017,"22:34:43"",""62.1"",""18.8"""
"""","1497825284"",""",18/06/2017,"22:34:44"",""62.1"",""18.8"""
"""","1497825285"",""",18/06/2017,"22:34:45"",""62.1"",""18.8"""
"""","1497825286"",""",18/06/2017,"22:34:46"",""62.1"",""18.8"""
"""","1497825287"",""",18/06/2017,"22:34:47"",""62.1"",""18.8"""
"""","1497825288"",""",18/06/2017,"22:34:48"",""62.1"",""18.8"""
"""","1497825289"",""",18/06/2017,"22:34:49"",""62.1"",""18.8"""
"""","1497825290"",""",18/06/2017,"22:34:50"",""62.1"",""18.8"""
"""","1497825291"",""",18/06/2017,"22:34:51"",""62.1"",""18.8"""
"""","1497825292"",""",18/06/2017,"22:34:52"",""62.1"",""18.8"""
"""","1497825293"",""",18/06/2017,"22:34:53"",""62.1"",""18.8"""
"""","1497825294"",""",18/06/2017,"22:34:54"",""62.2"",""18.8"""
"""","1497825295"",""",18/06/2017,"22:34:55"",""62.2"",""18.8"""
"""","1497825296"",""",18/06/2017,"22:34:56"",""62.2"",""18.8"""
"""","1497825297"",""",18/06/2017,"22:34:57"",""62.2"",""18.8"""
"""","1497825298"",""",18/06/2017,"22:34:58"",""62.2"",""18.8"""
"""","1497825299"",""",18/06/2017,"22:34:59"",""62.2"",""18.8"""
"""","1497825300"",""",18/06/2017,"22:35:0"",""62.2"",""18.8"""
"""","1497825301"",""",18/06/2017,"22:35:1"",""62.1"",""18.7"""
"""","1497825302"",""",18/06/2017,"22:35:2"",""62.1"",""18.7"""
"""","1497825303"",""",18/06/2017,"22:35:3"",""62.2"",""18.7"""
"""","1497825304"",""",18/06/2017,"22:35:4"",""62.2"",""18.7"""
"""","1497825305"",""",18/06/2017,"22:35:5"",""62.2"",""18.7"""
"""","1497825306"",""",18/06/2017,"22:35:6"",""62.2"",""18.7"""
"""","1497825307"",""",18/06/2017,"22:35:7"",""62.2"",""18.7"""
"""","1497825308"",""",18/06/2017,"22:35:8"",""62.3"",""18.7"""
"""","1497825309"",""",18/06/2017,"22:35:9"",""62.3"",""18.7"""
"""","1497825310"",""",18/06/2017,"22:35:10"",""62.3"",""18.7"""
"""","1497825311"",""",18/06/2017,"22:35:11"",""62.3"",""18.7"""
"""","1497825312"",""",18/06/2017,"22:35:12"",""62.4"",""18.7"""
"""","1497825313"",""",18/06/2017,"22:35:13"",""62.4"",""18.7"""
"""","1497825314"",""",18/06/2017,"22:35:14"",""62.4"",""18.7"""
"""","1497825315"",""",18/06/2017,"22:35:15"",""62.4"",""18.7"""
"""","1497825316"",""",18/06/2017,"22:35:16"",""62.4"",""18.7"""
"""","1497825317"",""",18/06/2017,"22:35:17"",""62.4"",""18.7"""
"""","1497825318"",""",18/06/2017,"22:35:18"",""62.4"",""18.7"""
"""","1497825319"",""",18/06/2017,"22:35:19"",""62.5"",""18.7"""
"""","1497825320"",""",18/06/2017,"22:35:20"",""62.5"",""18.7"""
"""","1497825321"",""",18/06/2017,"22:35:21"",""62.5"",""18.7"""
"""","1497825322"",""",18/06/2017,"22:35:22"",""62.5"",""18.7"""
"""","1497825323"",""",18/06/2017,"22:35:23"",""62.5"",""18.6"""
"""","1497825324"",""",18/06/2017,"22:35:24"",""62.4"",""18.6"""
"""","1497825325"",""",18/06/2017,"22:35:25"",""62.4"",""18.6"""
"""","1497825326"",""",18/06/2017,"22:35:26"",""62.6"",""18.7"""
"""","1497825327"",""",18/06/2017,"22:35:27"",""62.6"",""18.7"""
"""","1497825328"",""",18/06/2017,"22:35:28"",""62.6"",""18.7"""
"""","1497825329"",""",18/06/2017,"22:35:29"",""62.6"",""18.7"""
"""","1497825330"",""",18/06/2017,"22:35:30"",""62.7"",""18.7"""
"""","1497825331"",""",18/06/2017,"22:35:31"",""62.7"",""18.7"""
"""","1497825332"",""",18/06/2017,"22:35:32"",""62.6"",""18.6"""
"""","1497825333"",""",18/06/2017,"22:35:33"",""62.6"",""18.6"""
"""","1497825334"",""",18/06/2017,"22:35:34"",""62.6"",""18.6"""
"""","1497825335"",""",18/06/2017,"22:35:35"",""62.7"",""18.6"""
"""","1497825336"",""",18/06/2017,"22:35:36"",""62.7"",""18.6"""
"""","1497825337"",""",18/06/2017,"22:35:37"",""62.8"",""18.6"""
"""","1497825338"",""",18/06/2017,"22:35:38"",""62.8"",""18.6"""
"""","1497825339"",""",18/06/2017,"22:35:39"",""62.8"",""18.6"""
"""","1497825340"",""",18/06/2017,"22:35:40"",""62.8"",""18.6"""
"""","1497825341"",""",18/06/2017,"22:35:41"",""62.8"",""18.6"""
"""","1497825342"",""",18/06/2017,"22:35:42"",""62.8"",""18.6"""
