s,"tamp,datetime,","humidity,t",emperature
"""","1497832388"",""",19/06/2017,"0:33:8"",""69.5"",""15.5"""
"""","1497832389"",""",19/06/2017,"0:33:9"",""69.5"",""15.5"""
"""","1497832390"",""",19/06/2017,"0:33:10"",""69.5"",""15.5"""
"""","1497832391"",""",19/06/2017,"0:33:11"",""69.5"",""15.5"""
"""","1497832392"",""",19/06/2017,"0:33:12"",""69.5"",""15.5"""
"""","1497832393"",""",19/06/2017,"0:33:13"",""69.5"",""15.5"""
"""","1497832394"",""",19/06/2017,"0:33:14"",""69.5"",""15.5"""
"""","1497832395"",""",19/06/2017,"0:33:15"",""69.5"",""15.5"""
"""","1497832396"",""",19/06/2017,"0:33:16"",""69.5"",""15.5"""
"""","1497832397"",""",19/06/2017,"0:33:17"",""69.4"",""15.4"""
"""","1497832398"",""",19/06/2017,"0:33:18"",""69.4"",""15.4"""
"""","1497832399"",""",19/06/2017,"0:33:19"",""69.5"",""15.5"""
"""","1497832400"",""",19/06/2017,"0:33:20"",""69.5"",""15.5"""
"""","1497832401"",""",19/06/2017,"0:33:21"",""69.5"",""15.4"""
"""","1497832402"",""",19/06/2017,"0:33:22"",""69.4"",""15.4"""
"""","1497832403"",""",19/06/2017,"0:33:23"",""69.4"",""15.4"""
"""","1497832404"",""",19/06/2017,"0:33:24"",""69.5"",""15.5"""
"""","1497832405"",""",19/06/2017,"0:33:25"",""69.5"",""15.5"""
"""","1497832406"",""",19/06/2017,"0:33:26"",""69.5"",""15.5"""
"""","1497832407"",""",19/06/2017,"0:33:27"",""69.4"",""15.5"""
"""","1497832408"",""",19/06/2017,"0:33:28"",""69.4"",""15.5"""
"""","1497832409"",""",19/06/2017,"0:33:29"",""69.4"",""15.5"""
"""","1497832410"",""",19/06/2017,"0:33:30"",""69.4"",""15.5"""
"""","1497832411"",""",19/06/2017,"0:33:31"",""69.4"",""15.5"""
"""","1497832412"",""",19/06/2017,"0:33:32"",""69.4"",""15.5"""
"""","1497832413"",""",19/06/2017,"0:33:33"",""69.4"",""15.5"""
"""","1497832414"",""",19/06/2017,"0:33:34"",""69.4"",""15.5"""
"""","1497832415"",""",19/06/2017,"0:33:35"",""69.4"",""15.5"""
"""","1497832416"",""",19/06/2017,"0:33:36"",""69.3"",""15.4"""
"""","1497832417"",""",19/06/2017,"0:33:37"",""69.3"",""15.4"""
"""","1497832418"",""",19/06/2017,"0:33:38"",""69.4"",""15.5"""
"""","1497832419"",""",19/06/2017,"0:33:39"",""69.4"",""15.5"""
"""","1497832420"",""",19/06/2017,"0:33:40"",""69.4"",""15.5"""
"""","1497832421"",""",19/06/2017,"0:33:41"",""69.4"",""15.5"""
"""","1497832422"",""",19/06/2017,"0:33:42"",""69.4"",""15.5"""
"""","1497832423"",""",19/06/2017,"0:33:43"",""69.4"",""15.5"""
"""","1497832424"",""",19/06/2017,"0:33:44"",""69.5"",""15.5"""
"""","1497832425"",""",19/06/2017,"0:33:45"",""69.5"",""15.5"""
"""","1497832426"",""",19/06/2017,"0:33:46"",""69.5"",""15.5"""
"""","1497832427"",""",19/06/2017,"0:33:47"",""69.4"",""15.4"""
"""","1497832428"",""",19/06/2017,"0:33:48"",""69.4"",""15.4"""
"""","1497832429"",""",19/06/2017,"0:33:49"",""69.5"",""15.5"""
"""","1497832430"",""",19/06/2017,"0:33:50"",""69.5"",""15.5"""
"""","1497832431"",""",19/06/2017,"0:33:51"",""69.5"",""15.5"""
"""","1497832432"",""",19/06/2017,"0:33:52"",""69.5"",""15.5"""
"""","1497832433"",""",19/06/2017,"0:33:53"",""69.5"",""15.5"""
"""","1497832434"",""",19/06/2017,"0:33:54"",""69.5"",""15.5"""
"""","1497832435"",""",19/06/2017,"0:33:55"",""69.5"",""15.5"""
"""","1497832436"",""",19/06/2017,"0:33:56"",""69.5"",""15.4"""
"""","1497832437"",""",19/06/2017,"0:33:57"",""69.5"",""15.4"""
"""","1497832438"",""",19/06/2017,"0:33:58"",""69.5"",""15.4"""
"""","1497832439"",""",19/06/2017,"0:33:59"",""69.6"",""15.5"""
"""","1497832440"",""",19/06/2017,"0:34:0"",""69.6"",""15.5"""
"""","1497832441"",""",19/06/2017,"0:34:1"",""69.5"",""15.4"""
"""","1497832442"",""",19/06/2017,"0:34:2"",""69.5"",""15.4"""
"""","1497832443"",""",19/06/2017,"0:34:3"",""69.5"",""15.4"""
"""","1497832444"",""",19/06/2017,"0:34:4"",""69.5"",""15.4"""
"""","1497832445"",""",19/06/2017,"0:34:5"",""69.5"",""15.4"""
"""","1497832446"",""",19/06/2017,"0:34:6"",""69.5"",""15.4"""
"""","1497832447"",""",19/06/2017,"0:34:7"",""69.5"",""15.4"""
"""","1497832448"",""",19/06/2017,"0:34:8"",""69.6"",""15.4"""
"""","1497832449"",""",19/06/2017,"0:34:9"",""69.6"",""15.4"""
"""","1497832450"",""",19/06/2017,"0:34:10"",""69.6"",""15.4"""
"""","1497832451"",""",19/06/2017,"0:34:11"",""69.6"",""15.4"""
"""","1497832452"",""",19/06/2017,"0:34:12"",""69.7"",""15.4"""
"""","1497832453"",""",19/06/2017,"0:34:13"",""69.7"",""15.4"""
"""","1497832454"",""",19/06/2017,"0:34:14"",""69.7"",""15.4"""
"""","1497832455"",""",19/06/2017,"0:34:15"",""69.8"",""15.5"""
"""","1497832456"",""",19/06/2017,"0:34:16"",""69.8"",""15.5"""
"""","1497832457"",""",19/06/2017,"0:34:17"",""69.9"",""15.5"""
"""","1497832458"",""",19/06/2017,"0:34:18"",""69.9"",""15.5"""
"""","1497832459"",""",19/06/2017,"0:34:19"",""69.8"",""15.4"""
"""","1497832460"",""",19/06/2017,"0:34:20"",""69.8"",""15.4"""
"""","1497832461"",""",19/06/2017,"0:34:21"",""69.8"",""15.4"""
"""","1497832462"",""",19/06/2017,"0:34:22"",""69.8"",""15.4"""
"""","1497832463"",""",19/06/2017,"0:34:23"",""69.8"",""15.4"""
"""","1497832464"",""",19/06/2017,"0:34:24"",""69.8"",""15.4"""
"""","1497832465"",""",19/06/2017,"0:34:25"",""69.8"",""15.4"""
"""","1497832466"",""",19/06/2017,"0:34:26"",""69.8"",""15.4"""
"""","1497832467"",""",19/06/2017,"0:34:27"",""69.8"",""15.4"""
"""","1497832468"",""",19/06/2017,"0:34:28"",""69.8"",""15.4"""
"""","1497832469"",""",19/06/2017,"0:34:29"",""69.7"",""15.4"""
"""","1497832470"",""",19/06/2017,"0:34:30"",""69.7"",""15.4"""
"""","1497832471"",""",19/06/2017,"0:34:31"",""69.7"",""15.4"""
"""","1497832472"",""",19/06/2017,"0:34:32"",""69.6"",""15.4"""
"""","1497832473"",""",19/06/2017,"0:34:33"",""69.6"",""15.4"""
"""","1497832474"",""",19/06/2017,"0:34:34"",""69.5"",""15.4"""
"""","1497832475"",""",19/06/2017,"0:34:35"",""69.5"",""15.4"""
"""","1497832476"",""",19/06/2017,"0:34:36"",""69.7"",""15.5"""
"""","1497832477"",""",19/06/2017,"0:34:37"",""69.7"",""15.5"""
"""","1497832478"",""",19/06/2017,"0:34:38"",""69.7"",""15.4"""
"""","1497832479"",""",19/06/2017,"0:34:39"",""69.7"",""15.4"""
"""","1497832480"",""",19/06/2017,"0:34:40"",""69.7"",""15.4"""
"""","1497832481"",""",19/06/2017,"0:34:41"",""69.7"",""15.4"""
"""","1497832482"",""",19/06/2017,"0:34:42"",""69.7"",""15.4"""
"""","1497832483"",""",19/06/2017,"0:34:43"",""69.7"",""15.4"""
"""","1497832484"",""",19/06/2017,"0:34:44"",""69.7"",""15.4"""
"""","1497832485"",""",19/06/2017,"0:34:45"",""69.7"",""15.4"""
"""","1497832486"",""",19/06/2017,"0:34:46"",""69.7"",""15.4"""
"""","1497832487"",""",19/06/2017,"0:34:47"",""69.7"",""15.4"""
"""","1497832488"",""",19/06/2017,"0:34:48"",""69.7"",""15.4"""
"""","1497832489"",""",19/06/2017,"0:34:49"",""69.8"",""15.4"""
"""","1497832490"",""",19/06/2017,"0:34:50"",""69.8"",""15.4"""
"""","1497832491"",""",19/06/2017,"0:34:51"",""69.8"",""15.4"""
"""","1497832492"",""",19/06/2017,"0:34:52"",""69.8"",""15.4"""
"""","1497832493"",""",19/06/2017,"0:34:53"",""69.8"",""15.4"""
"""","1497832494"",""",19/06/2017,"0:34:54"",""69.8"",""15.4"""
"""","1497832495"",""",19/06/2017,"0:34:55"",""69.8"",""15.4"""
"""","1497832496"",""",19/06/2017,"0:34:56"",""69.9"",""15.5"""
"""","1497832497"",""",19/06/2017,"0:34:57"",""69.9"",""15.5"""
"""","1497832498"",""",19/06/2017,"0:34:58"",""69.9"",""15.5"""
"""","1497832499"",""",19/06/2017,"0:34:59"",""69.9"",""15.5"""
"""","1497832500"",""",19/06/2017,"0:35:0"",""69.9"",""15.5"""
"""","1497832501"",""",19/06/2017,"0:35:1"",""69.9"",""15.5"""
"""","1497832502"",""",19/06/2017,"0:35:2"",""69.9"",""15.5"""
"""","1497832503"",""",19/06/2017,"0:35:3"",""69.8"",""15.5"""
"""","1497832504"",""",19/06/2017,"0:35:4"",""69.8"",""15.5"""
"""","1497832505"",""",19/06/2017,"0:35:5"",""69.9"",""15.5"""
"""","1497832506"",""",19/06/2017,"0:35:6"",""69.9"",""15.5"""
"""","1497832507"",""",19/06/2017,"0:35:7"",""69.9"",""15.5"""
"""","1497832508"",""",19/06/2017,"0:35:8"",""69.9"",""15.5"""
"""","1497832509"",""",19/06/2017,"0:35:9"",""69.9"",""15.5"""
"""","1497832510"",""",19/06/2017,"0:35:10"",""69.9"",""15.5"""
"""","1497832511"",""",19/06/2017,"0:35:11"",""69.9"",""15.5"""
"""","1497832512"",""",19/06/2017,"0:35:12"",""69.9"",""15.5"""
"""","1497832513"",""",19/06/2017,"0:35:13"",""69.9"",""15.5"""
"""","1497832514"",""",19/06/2017,"0:35:14"",""69.9"",""15.5"""
"""","1497832515"",""",19/06/2017,"0:35:15"",""69.9"",""15.5"""
"""","1497832516"",""",19/06/2017,"0:35:16"",""69.9"",""15.5"""
"""","1497832517"",""",19/06/2017,"0:35:17"",""69.9"",""15.5"""
"""","1497832518"",""",19/06/2017,"0:35:18"",""69.9"",""15.5"""
"""","1497832519"",""",19/06/2017,"0:35:19"",""69.8"",""15.5"""
"""","1497832520"",""",19/06/2017,"0:35:20"",""69.8"",""15.5"""
"""","1497832521"",""",19/06/2017,"0:35:21"",""69.9"",""15.5"""
"""","1497832522"",""",19/06/2017,"0:35:22"",""69.9"",""15.5"""
"""","1497832523"",""",19/06/2017,"0:35:23"",""69.9"",""15.5"""
"""","1497832524"",""",19/06/2017,"0:35:24"",""69.9"",""15.5"""
"""","1497832525"",""",19/06/2017,"0:35:25"",""69.9"",""15.5"""
"""","1497832526"",""",19/06/2017,"0:35:26"",""69.9"",""15.5"""
"""","1497832527"",""",19/06/2017,"0:35:27"",""69.9"",""15.5"""
"""","1497832528"",""",19/06/2017,"0:35:28"",""69.7"",""15.4"""
"""","1497832529"",""",19/06/2017,"0:35:29"",""69.7"",""15.4"""
"""","1497832530"",""",19/06/2017,"0:35:30"",""69.8"",""15.5"""
"""","1497832531"",""",19/06/2017,"0:35:31"",""69.8"",""15.5"""
"""","1497832532"",""",19/06/2017,"0:35:32"",""69.8"",""15.5"""
"""","1497832533"",""",19/06/2017,"0:35:33"",""69.8"",""15.5"""
"""","1497832534"",""",19/06/2017,"0:35:34"",""69.8"",""15.5"""
"""","1497832535"",""",19/06/2017,"0:35:35"",""69.8"",""15.5"""
"""","1497832536"",""",19/06/2017,"0:35:36"",""69.8"",""15.5"""
"""","1497832537"",""",19/06/2017,"0:35:37"",""69.9"",""15.5"""
"""","1497832538"",""",19/06/2017,"0:35:38"",""69.9"",""15.5"""
"""","1497832539"",""",19/06/2017,"0:35:39"",""69.9"",""15.5"""
"""","1497832540"",""",19/06/2017,"0:35:40"",""69.9"",""15.5"""
"""","1497832541"",""",19/06/2017,"0:35:41"",""69.9"",""15.5"""
"""","1497832542"",""",19/06/2017,"0:35:42"",""69.8"",""15.4"""
"""","1497832543"",""",19/06/2017,"0:35:43"",""69.8"",""15.4"""
"""","1497832544"",""",19/06/2017,"0:35:44"",""69.9"",""15.5"""
"""","1497832545"",""",19/06/2017,"0:35:45"",""69.9"",""15.5"""
"""","1497832546"",""",19/06/2017,"0:35:46"",""69.8"",""15.5"""
"""","1497832547"",""",19/06/2017,"0:35:47"",""69.8"",""15.5"""
"""","1497832548"",""",19/06/2017,"0:35:48"",""69.8"",""15.5"""
"""","1497832549"",""",19/06/2017,"0:35:49"",""69.6"",""15.4"""
"""","1497832550"",""",19/06/2017,"0:35:50"",""69.6"",""15.4"""
"""","1497832551"",""",19/06/2017,"0:35:51"",""69.6"",""15.5"""
"""","1497832552"",""",19/06/2017,"0:35:52"",""69.6"",""15.5"""
"""","1497832553"",""",19/06/2017,"0:35:53"",""69.5"",""15.5"""
"""","1497832554"",""",19/06/2017,"0:35:54"",""69.5"",""15.5"""
"""","1497832555"",""",19/06/2017,"0:35:55"",""69.5"",""15.5"""
"""","1497832556"",""",19/06/2017,"0:35:56"",""69.4"",""15.4"""
"""","1497832557"",""",19/06/2017,"0:35:57"",""69.4"",""15.4"""
"""","1497832558"",""",19/06/2017,"0:35:58"",""69.5"",""15.5"""
"""","1497832559"",""",19/06/2017,"0:35:59"",""69.5"",""15.5"""
"""","1497832560"",""",19/06/2017,"0:36:0"",""69.5"",""15.5"""
"""","1497832561"",""",19/06/2017,"0:36:1"",""69.5"",""15.5"""
"""","1497832562"",""",19/06/2017,"0:36:2"",""69.4"",""15.4"""
"""","1497832563"",""",19/06/2017,"0:36:3"",""69.4"",""15.4"""
"""","1497832564"",""",19/06/2017,"0:36:4"",""69.4"",""15.4"""
"""","1497832565"",""",19/06/2017,"0:36:5"",""69.3"",""15.4"""
"""","1497832566"",""",19/06/2017,"0:36:6"",""69.3"",""15.4"""
"""","1497832567"",""",19/06/2017,"0:36:7"",""69.3"",""15.4"""
"""","1497832568"",""",19/06/2017,"0:36:8"",""69.3"",""15.4"""
"""","1497832569"",""",19/06/2017,"0:36:9"",""69.4"",""15.5"""
"""","1497832570"",""",19/06/2017,"0:36:10"",""69.4"",""15.5"""
"""","1497832571"",""",19/06/2017,"0:36:11"",""69.3"",""15.4"""
"""","1497832572"",""",19/06/2017,"0:36:12"",""69.3"",""15.4"""
"""","1497832573"",""",19/06/2017,"0:36:13"",""69.3"",""15.4"""
"""","1497832574"",""",19/06/2017,"0:36:14"",""69.3"",""15.4"""
"""","1497832575"",""",19/06/2017,"0:36:15"",""69.3"",""15.4"""
"""","1497832576"",""",19/06/2017,"0:36:16"",""69.3"",""15.4"""
"""","1497832577"",""",19/06/2017,"0:36:17"",""69.4"",""15.4"""
"""","1497832578"",""",19/06/2017,"0:36:18"",""69.4"",""15.4"""
"""","1497832579"",""",19/06/2017,"0:36:19"",""69.5"",""15.5"""
"""","1497832580"",""",19/06/2017,"0:36:20"",""69.5"",""15.5"""
"""","1497832581"",""",19/06/2017,"0:36:21"",""69.4"",""15.4"""
"""","1497832582"",""",19/06/2017,"0:36:22"",""69.4"",""15.4"""
"""","1497832583"",""",19/06/2017,"0:36:23"",""69.5"",""15.5"""
"""","1497832584"",""",19/06/2017,"0:36:24"",""69.5"",""15.5"""
"""","1497832585"",""",19/06/2017,"0:36:25"",""69.4"",""15.4"""
"""","1497832586"",""",19/06/2017,"0:36:26"",""69.4"",""15.4"""
"""","1497832587"",""",19/06/2017,"0:36:27"",""69.4"",""15.4"""
"""","1497832588"",""",19/06/2017,"0:36:28"",""69.5"",""15.4"""
"""","1497832589"",""",19/06/2017,"0:36:29"",""69.5"",""15.4"""
"""","1497832590"",""",19/06/2017,"0:36:30"",""69.5"",""15.5"""
"""","1497832591"",""",19/06/2017,"0:36:31"",""69.5"",""15.5"""
"""","1497832592"",""",19/06/2017,"0:36:32"",""69.5"",""15.5"""
"""","1497832593"",""",19/06/2017,"0:36:33"",""69.5"",""15.5"""
"""","1497832594"",""",19/06/2017,"0:36:34"",""69.5"",""15.5"""
"""","1497832595"",""",19/06/2017,"0:36:35"",""69.5"",""15.5"""
"""","1497832596"",""",19/06/2017,"0:36:36"",""69.5"",""15.5"""
"""","1497832597"",""",19/06/2017,"0:36:37"",""69.5"",""15.5"""
"""","1497832598"",""",19/06/2017,"0:36:38"",""69.5"",""15.5"""
"""","1497832599"",""",19/06/2017,"0:36:39"",""69.5"",""15.5"""
"""","1497832600"",""",19/06/2017,"0:36:40"",""69.5"",""15.5"""
"""","1497832601"",""",19/06/2017,"0:36:41"",""69.5"",""15.5"""
"""","1497832602"",""",19/06/2017,"0:36:42"",""69.5"",""15.5"""
"""","1497832603"",""",19/06/2017,"0:36:43"",""69.4"",""15.4"""
"""","1497832604"",""",19/06/2017,"0:36:44"",""69.4"",""15.4"""
"""","1497832605"",""",19/06/2017,"0:36:45"",""69.5"",""15.5"""
"""","1497832606"",""",19/06/2017,"0:36:46"",""69.5"",""15.5"""
"""","1497832607"",""",19/06/2017,"0:36:47"",""69.5"",""15.5"""
"""","1497832608"",""",19/06/2017,"0:36:48"",""69.5"",""15.5"""
"""","1497832609"",""",19/06/2017,"0:36:49"",""69.5"",""15.5"""
"""","1497832610"",""",19/06/2017,"0:36:50"",""69.5"",""15.5"""
"""","1497832611"",""",19/06/2017,"0:36:51"",""69.5"",""15.5"""
"""","1497832612"",""",19/06/2017,"0:36:52"",""69.5"",""15.5"""
"""","1497832613"",""",19/06/2017,"0:36:53"",""69.5"",""15.5"""
"""","1497832614"",""",19/06/2017,"0:36:54"",""69.5"",""15.5"""
"""","1497832615"",""",19/06/2017,"0:36:55"",""69.5"",""15.5"""
"""","1497832616"",""",19/06/2017,"0:36:56"",""69.5"",""15.5"""
"""","1497832617"",""",19/06/2017,"0:36:57"",""69.5"",""15.5"""
"""","1497832618"",""",19/06/2017,"0:36:58"",""69.6"",""15.5"""
"""","1497832619"",""",19/06/2017,"0:36:59"",""69.6"",""15.5"""
"""","1497832620"",""",19/06/2017,"0:37:0"",""69.6"",""15.5"""
"""","1497832621"",""",19/06/2017,"0:37:1"",""69.6"",""15.5"""
"""","1497832622"",""",19/06/2017,"0:37:2"",""69.7"",""15.5"""
"""","1497832623"",""",19/06/2017,"0:37:3"",""69.7"",""15.5"""
"""","1497832624"",""",19/06/2017,"0:37:4"",""69.7"",""15.5"""
"""","1497832625"",""",19/06/2017,"0:37:5"",""69.6"",""15.5"""
"""","1497832626"",""",19/06/2017,"0:37:6"",""69.6"",""15.5"""
"""","1497832627"",""",19/06/2017,"0:37:7"",""69.6"",""15.5"""
"""","1497832628"",""",19/06/2017,"0:37:8"",""69.6"",""15.5"""
"""","1497832629"",""",19/06/2017,"0:37:9"",""69.6"",""15.5"""
"""","1497832630"",""",19/06/2017,"0:37:10"",""69.6"",""15.5"""
"""","1497832631"",""",19/06/2017,"0:37:11"",""69.6"",""15.5"""
"""","1497832632"",""",19/06/2017,"0:37:12"",""69.6"",""15.5"""
"""","1497832633"",""",19/06/2017,"0:37:13"",""69.5"",""15.5"""
"""","1497832634"",""",19/06/2017,"0:37:14"",""69.5"",""15.5"""
"""","1497832635"",""",19/06/2017,"0:37:15"",""69.5"",""15.5"""
"""","1497832636"",""",19/06/2017,"0:37:16"",""69.4"",""15.5"""
"""","1497832637"",""",19/06/2017,"0:37:17"",""69.4"",""15.5"""
"""","1497832638"",""",19/06/2017,"0:37:18"",""69.3"",""15.5"""
"""","1497832639"",""",19/06/2017,"0:37:19"",""69.3"",""15.5"""
"""","1497832640"",""",19/06/2017,"0:37:20"",""69.3"",""15.5"""
"""","1497832641"",""",19/06/2017,"0:37:21"",""69.3"",""15.5"""
"""","1497832642"",""",19/06/2017,"0:37:22"",""69.3"",""15.5"""
"""","1497832643"",""",19/06/2017,"0:37:23"",""69.3"",""15.5"""
"""","1497832644"",""",19/06/2017,"0:37:24"",""69.3"",""15.5"""
"""","1497832645"",""",19/06/2017,"0:37:25"",""69.3"",""15.5"""
"""","1497832646"",""",19/06/2017,"0:37:26"",""69.3"",""15.5"""
"""","1497832647"",""",19/06/2017,"0:37:27"",""69.3"",""15.5"""
"""","1497832648"",""",19/06/2017,"0:37:28"",""69.3"",""15.5"""
"""","1497832649"",""",19/06/2017,"0:37:29"",""69.2"",""15.5"""
"""","1497832650"",""",19/06/2017,"0:37:30"",""69.2"",""15.5"""
"""","1497832651"",""",19/06/2017,"0:37:31"",""69.1"",""15.5"""
"""","1497832652"",""",19/06/2017,"0:37:32"",""69.1"",""15.5"""
"""","1497832653"",""",19/06/2017,"0:37:33"",""69.1"",""15.5"""
"""","1497832654"",""",19/06/2017,"0:37:34"",""69.1"",""15.5"""
"""","1497832655"",""",19/06/2017,"0:37:35"",""69.1"",""15.5"""
"""","1497832656"",""",19/06/2017,"0:37:36"",""69.1"",""15.5"""
"""","1497832657"",""",19/06/2017,"0:37:37"",""69.1"",""15.5"""
"""","1497832658"",""",19/06/2017,"0:37:38"",""69.2"",""15.5"""
"""","1497832659"",""",19/06/2017,"0:37:39"",""69.2"",""15.5"""
"""","1497832660"",""",19/06/2017,"0:37:40"",""69.2"",""15.5"""
"""","1497832661"",""",19/06/2017,"0:37:41"",""69.2"",""15.5"""
"""","1497832662"",""",19/06/2017,"0:37:42"",""69.2"",""15.5"""
"""","1497832664"",""",19/06/2017,"0:37:44"",""69.1"",""15.5"""
"""","1497832665"",""",19/06/2017,"0:37:45"",""69.1"",""15.5"""
"""","1497832666"",""",19/06/2017,"0:37:46"",""69.2"",""15.6"""
"""","1497832667"",""",19/06/2017,"0:37:47"",""69.2"",""15.6"""
"""","1497832668"",""",19/06/2017,"0:37:48"",""69.1"",""15.5"""
"""","1497832669"",""",19/06/2017,"0:37:49"",""69.1"",""15.5"""
"""","1497832670"",""",19/06/2017,"0:37:50"",""69.1"",""15.5"""
"""","1497832671"",""",19/06/2017,"0:37:51"",""69.2"",""15.5"""
"""","1497832672"",""",19/06/2017,"0:37:52"",""69.2"",""15.5"""
"""","1497832673"",""",19/06/2017,"0:37:53"",""69.1"",""15.5"""
"""","1497832674"",""",19/06/2017,"0:37:54"",""69.1"",""15.5"""
"""","1497832675"",""",19/06/2017,"0:37:55"",""69.1"",""15.5"""
"""","1497832676"",""",19/06/2017,"0:37:56"",""69.1"",""15.5"""
"""","1497832677"",""",19/06/2017,"0:37:57"",""69.1"",""15.5"""
"""","1497832678"",""",19/06/2017,"0:37:58"",""69.1"",""15.5"""
"""","1497832679"",""",19/06/2017,"0:37:59"",""69.1"",""15.5"""
"""","1497832680"",""",19/06/2017,"0:38:0"",""69.1"",""15.5"""
"""","1497832681"",""",19/06/2017,"0:38:1"",""69.0"",""15.5"""
"""","1497832682"",""",19/06/2017,"0:38:2"",""69.0"",""15.5"""
"""","1497832683"",""",19/06/2017,"0:38:3"",""69.1"",""15.5"""
"""","1497832684"",""",19/06/2017,"0:38:4"",""69.1"",""15.5"""
"""","1497832685"",""",19/06/2017,"0:38:5"",""69.1"",""15.5"""
"""","1497832686"",""",19/06/2017,"0:38:6"",""69.1"",""15.5"""
"""","1497832687"",""",19/06/2017,"0:38:7"",""69.1"",""15.5"""
"""","1497832688"",""",19/06/2017,"0:38:8"",""69.1"",""15.5"""
"""","1497832689"",""",19/06/2017,"0:38:9"",""69.1"",""15.5"""
"""","1497832690"",""",19/06/2017,"0:38:10"",""69.1"",""15.5"""
"""","1497832691"",""",19/06/2017,"0:38:11"",""69.1"",""15.5"""
"""","1497832692"",""",19/06/2017,"0:38:12"",""69.2"",""15.5"""
"""","1497832693"",""",19/06/2017,"0:38:13"",""69.2"",""15.5"""
"""","1497832694"",""",19/06/2017,"0:38:14"",""69.2"",""15.5"""
"""","1497832695"",""",19/06/2017,"0:38:15"",""69.2"",""15.5"""
"""","1497832696"",""",19/06/2017,"0:38:16"",""69.2"",""15.5"""
"""","1497832697"",""",19/06/2017,"0:38:17"",""69.2"",""15.5"""
"""","1497832698"",""",19/06/2017,"0:38:18"",""69.2"",""15.5"""
"""","1497832699"",""",19/06/2017,"0:38:19"",""69.2"",""15.5"""
"""","1497832700"",""",19/06/2017,"0:38:20"",""69.2"",""15.5"""
"""","1497832701"",""",19/06/2017,"0:38:21"",""69.2"",""15.5"""
"""","1497832702"",""",19/06/2017,"0:38:22"",""69.2"",""15.5"""
"""","1497832703"",""",19/06/2017,"0:38:23"",""69.2"",""15.5"""
"""","1497832704"",""",19/06/2017,"0:38:24"",""69.2"",""15.5"""
"""","1497832705"",""",19/06/2017,"0:38:25"",""69.2"",""15.5"""
"""","1497832706"",""",19/06/2017,"0:38:26"",""69.2"",""15.5"""
"""","1497832707"",""",19/06/2017,"0:38:27"",""69.2"",""15.5"""
"""","1497832708"",""",19/06/2017,"0:38:28"",""69.2"",""15.5"""
"""","1497832709"",""",19/06/2017,"0:38:29"",""69.2"",""15.5"""
"""","1497832710"",""",19/06/2017,"0:38:30"",""69.2"",""15.5"""
"""","1497832711"",""",19/06/2017,"0:38:31"",""69.2"",""15.5"""
"""","1497832712"",""",19/06/2017,"0:38:32"",""69.2"",""15.5"""
"""","1497832713"",""",19/06/2017,"0:38:33"",""69.2"",""15.5"""
"""","1497832714"",""",19/06/2017,"0:38:34"",""69.2"",""15.5"""
"""","1497832715"",""",19/06/2017,"0:38:35"",""69.2"",""15.5"""
"""","1497832716"",""",19/06/2017,"0:38:36"",""69.2"",""15.5"""
"""","1497832717"",""",19/06/2017,"0:38:37"",""69.2"",""15.5"""
"""","1497832718"",""",19/06/2017,"0:38:38"",""69.2"",""15.5"""
"""","1497832719"",""",19/06/2017,"0:38:39"",""69.2"",""15.5"""
"""","1497832720"",""",19/06/2017,"0:38:40"",""69.2"",""15.5"""
"""","1497832721"",""",19/06/2017,"0:38:41"",""69.2"",""15.5"""
"""","1497832722"",""",19/06/2017,"0:38:42"",""69.2"",""15.5"""
"""","1497832723"",""",19/06/2017,"0:38:43"",""69.2"",""15.5"""
"""","1497832724"",""",19/06/2017,"0:38:44"",""69.2"",""15.5"""
"""","1497832725"",""",19/06/2017,"0:38:45"",""69.2"",""15.5"""
"""","1497832726"",""",19/06/2017,"0:38:46"",""69.1"",""15.5"""
"""","1497832727"",""",19/06/2017,"0:38:47"",""69.1"",""15.5"""
"""","1497832728"",""",19/06/2017,"0:38:48"",""69.1"",""15.5"""
"""","1497832729"",""",19/06/2017,"0:38:49"",""69.1"",""15.5"""
"""","1497832730"",""",19/06/2017,"0:38:50"",""69.1"",""15.5"""
"""","1497832731"",""",19/06/2017,"0:38:51"",""69.1"",""15.5"""
"""","1497832732"",""",19/06/2017,"0:38:52"",""69.1"",""15.5"""
"""","1497832733"",""",19/06/2017,"0:38:53"",""69.1"",""15.5"""
"""","1497832734"",""",19/06/2017,"0:38:54"",""69.1"",""15.5"""
"""","1497832735"",""",19/06/2017,"0:38:55"",""69.0"",""15.5"""
"""","1497832736"",""",19/06/2017,"0:38:56"",""69.0"",""15.5"""
"""","1497832737"",""",19/06/2017,"0:38:57"",""69.0"",""15.5"""
"""","1497832738"",""",19/06/2017,"0:38:58"",""69.1"",""15.5"""
"""","1497832739"",""",19/06/2017,"0:38:59"",""69.1"",""15.5"""
"""","1497832740"",""",19/06/2017,"0:39:0"",""69.1"",""15.5"""
"""","1497832741"",""",19/06/2017,"0:39:1"",""69.1"",""15.5"""
"""","1497832742"",""",19/06/2017,"0:39:2"",""69.1"",""15.5"""
"""","1497832743"",""",19/06/2017,"0:39:3"",""69.1"",""15.5"""
"""","1497832744"",""",19/06/2017,"0:39:4"",""69.1"",""15.5"""
"""","1497832745"",""",19/06/2017,"0:39:5"",""69.2"",""15.5"""
"""","1497832746"",""",19/06/2017,"0:39:6"",""69.2"",""15.5"""
